INFO 2025-12-14 10:44:31 db_utils.py:102 [1m[34mLogs will be synced with wandb.[0m
INFO 2025-12-14 10:44:31 db_utils.py:103 Track this run --> [1m[33mhttps://wandb.ai/rayan-elidrissi-caor/lerobot/runs/l9wm6aco[0m
INFO 2025-12-14 10:44:31 ot_train.py:183 Creating dataset
INFO 2025-12-14 10:44:31 ot_train.py:202 Creating policy
INFO 2025-12-14 10:44:32 ot_train.py:247 Creating optimizer and scheduler
INFO 2025-12-14 10:44:32 ot_train.py:259 [1m[33mOutput dir:[0m outputs/train/act_so101_blue-Tweezersv1_pickdrop_20ksteps
INFO 2025-12-14 10:44:32 ot_train.py:262 cfg.steps=25000 (25K)
INFO 2025-12-14 10:44:32 ot_train.py:263 dataset.num_frames=30118 (30K)
INFO 2025-12-14 10:44:32 ot_train.py:264 dataset.num_episodes=60
INFO 2025-12-14 10:44:32 ot_train.py:267 Effective batch size: 8 x 1 = 8
INFO 2025-12-14 10:44:32 ot_train.py:268 num_learnable_params=51597190 (52M)
INFO 2025-12-14 10:44:32 ot_train.py:269 num_total_params=51597190 (52M)
INFO 2025-12-14 10:44:32 ot_train.py:324 Start offline training on a fixed dataset
INFO 2025-12-14 10:45:01 ot_train.py:351 step:200 smpl:2K ep:3 epch:0.05 loss:6.441 grdn:155.174 lr:1.0e-05 updt_s:0.138 data_s:0.005
INFO 2025-12-14 10:45:13 ot_train.py:351 step:400 smpl:3K ep:6 epch:0.11 loss:2.869 grdn:86.508 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:45:26 ot_train.py:351 step:600 smpl:5K ep:10 epch:0.16 loss:2.425 grdn:75.203 lr:1.0e-05 updt_s:0.061 data_s:0.003
INFO 2025-12-14 10:45:39 ot_train.py:351 step:800 smpl:6K ep:13 epch:0.21 loss:2.133 grdn:68.624 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:45:51 ot_train.py:351 step:1K smpl:8K ep:16 epch:0.27 loss:1.932 grdn:64.429 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:46:04 ot_train.py:351 step:1K smpl:10K ep:19 epch:0.32 loss:1.774 grdn:62.106 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:46:16 ot_train.py:351 step:1K smpl:11K ep:22 epch:0.37 loss:1.601 grdn:59.266 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:46:29 ot_train.py:351 step:2K smpl:13K ep:25 epch:0.42 loss:1.460 grdn:54.320 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:46:41 ot_train.py:351 step:2K smpl:14K ep:29 epch:0.48 loss:1.342 grdn:52.816 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:46:54 ot_train.py:351 step:2K smpl:16K ep:32 epch:0.53 loss:1.223 grdn:50.097 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:47:06 ot_train.py:351 step:2K smpl:18K ep:35 epch:0.58 loss:1.111 grdn:47.723 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:47:19 ot_train.py:351 step:2K smpl:19K ep:38 epch:0.64 loss:1.006 grdn:44.452 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:47:32 ot_train.py:351 step:3K smpl:21K ep:41 epch:0.69 loss:0.918 grdn:43.127 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:47:44 ot_train.py:351 step:3K smpl:22K ep:45 epch:0.74 loss:0.836 grdn:40.015 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:47:57 ot_train.py:351 step:3K smpl:24K ep:48 epch:0.80 loss:0.768 grdn:37.842 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:48:09 ot_train.py:351 step:3K smpl:26K ep:51 epch:0.85 loss:0.699 grdn:36.011 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:48:22 ot_train.py:351 step:3K smpl:27K ep:54 epch:0.90 loss:0.648 grdn:34.691 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:48:34 ot_train.py:351 step:4K smpl:29K ep:57 epch:0.96 loss:0.594 grdn:32.480 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:48:53 ot_train.py:351 step:4K smpl:30K ep:61 epch:1.01 loss:0.572 grdn:31.286 lr:1.0e-05 updt_s:0.083 data_s:0.012
INFO 2025-12-14 10:49:06 ot_train.py:351 step:4K smpl:32K ep:64 epch:1.06 loss:0.511 grdn:30.235 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:49:19 ot_train.py:351 step:4K smpl:34K ep:67 epch:1.12 loss:0.489 grdn:29.207 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:49:31 ot_train.py:351 step:4K smpl:35K ep:70 epch:1.17 loss:0.459 grdn:27.974 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:49:44 ot_train.py:351 step:5K smpl:37K ep:73 epch:1.22 loss:0.428 grdn:26.390 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:49:56 ot_train.py:351 step:5K smpl:38K ep:76 epch:1.27 loss:0.406 grdn:25.561 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:50:09 ot_train.py:351 step:5K smpl:40K ep:80 epch:1.33 loss:0.383 grdn:24.874 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:50:21 ot_train.py:351 step:5K smpl:42K ep:83 epch:1.38 loss:0.366 grdn:24.079 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:50:34 ot_train.py:351 step:5K smpl:43K ep:86 epch:1.43 loss:0.355 grdn:23.240 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:50:46 ot_train.py:351 step:6K smpl:45K ep:89 epch:1.49 loss:0.352 grdn:22.985 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:50:59 ot_train.py:351 step:6K smpl:46K ep:92 epch:1.54 loss:0.333 grdn:21.957 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:51:12 ot_train.py:351 step:6K smpl:48K ep:96 epch:1.59 loss:0.320 grdn:21.697 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:51:24 ot_train.py:351 step:6K smpl:50K ep:99 epch:1.65 loss:0.302 grdn:20.641 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:51:37 ot_train.py:351 step:6K smpl:51K ep:102 epch:1.70 loss:0.305 grdn:20.655 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:51:49 ot_train.py:351 step:7K smpl:53K ep:105 epch:1.75 loss:0.292 grdn:20.292 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:52:02 ot_train.py:351 step:7K smpl:54K ep:108 epch:1.81 loss:0.277 grdn:19.489 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:52:15 ot_train.py:351 step:7K smpl:56K ep:112 epch:1.86 loss:0.274 grdn:19.400 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:52:27 ot_train.py:351 step:7K smpl:58K ep:115 epch:1.91 loss:0.274 grdn:19.435 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:52:40 ot_train.py:351 step:7K smpl:59K ep:118 epch:1.97 loss:0.269 grdn:19.047 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:52:55 ot_train.py:351 step:8K smpl:61K ep:121 epch:2.02 loss:0.264 grdn:18.606 lr:1.0e-05 updt_s:0.061 data_s:0.014
INFO 2025-12-14 10:53:07 ot_train.py:351 step:8K smpl:62K ep:124 epch:2.07 loss:0.248 grdn:18.219 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:53:20 ot_train.py:351 step:8K smpl:64K ep:127 epch:2.12 loss:0.257 grdn:18.651 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:53:33 ot_train.py:351 step:8K smpl:66K ep:131 epch:2.18 loss:0.243 grdn:17.683 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:53:45 ot_train.py:351 step:8K smpl:67K ep:134 epch:2.23 loss:0.237 grdn:17.293 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:53:58 ot_train.py:351 step:9K smpl:69K ep:137 epch:2.28 loss:0.238 grdn:17.682 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:54:10 ot_train.py:351 step:9K smpl:70K ep:140 epch:2.34 loss:0.234 grdn:17.075 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:54:23 ot_train.py:351 step:9K smpl:72K ep:143 epch:2.39 loss:0.226 grdn:16.904 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:54:35 ot_train.py:351 step:9K smpl:74K ep:147 epch:2.44 loss:0.222 grdn:16.553 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:54:48 ot_train.py:351 step:9K smpl:75K ep:150 epch:2.50 loss:0.223 grdn:16.461 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:55:01 ot_train.py:351 step:10K smpl:77K ep:153 epch:2.55 loss:0.225 grdn:16.750 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:55:13 ot_train.py:351 step:10K smpl:78K ep:156 epch:2.60 loss:0.216 grdn:15.857 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:55:26 ot_train.py:351 step:10K smpl:80K ep:159 epch:2.66 loss:0.218 grdn:16.156 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:55:38 ot_train.py:351 step:10K smpl:82K ep:163 epch:2.71 loss:0.219 grdn:15.773 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:55:51 ot_train.py:351 step:10K smpl:83K ep:166 epch:2.76 loss:0.209 grdn:15.818 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:56:03 ot_train.py:351 step:11K smpl:85K ep:169 epch:2.82 loss:0.212 grdn:15.497 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:56:16 ot_train.py:351 step:11K smpl:86K ep:172 epch:2.87 loss:0.210 grdn:15.278 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:56:28 ot_train.py:351 step:11K smpl:88K ep:175 epch:2.92 loss:0.204 grdn:14.975 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:56:41 ot_train.py:351 step:11K smpl:90K ep:178 epch:2.97 loss:0.207 grdn:15.038 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:56:56 ot_train.py:351 step:11K smpl:91K ep:182 epch:3.03 loss:0.191 grdn:14.871 lr:1.0e-05 updt_s:0.061 data_s:0.014
INFO 2025-12-14 10:57:09 ot_train.py:351 step:12K smpl:93K ep:185 epch:3.08 loss:0.192 grdn:14.713 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:57:21 ot_train.py:351 step:12K smpl:94K ep:188 epch:3.13 loss:0.194 grdn:14.631 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:57:34 ot_train.py:351 step:12K smpl:96K ep:191 epch:3.19 loss:0.187 grdn:14.427 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:57:46 ot_train.py:351 step:12K smpl:98K ep:194 epch:3.24 loss:0.192 grdn:14.182 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:57:59 ot_train.py:351 step:12K smpl:99K ep:198 epch:3.29 loss:0.188 grdn:14.557 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:58:11 ot_train.py:351 step:13K smpl:101K ep:201 epch:3.35 loss:0.191 grdn:14.681 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:58:24 ot_train.py:351 step:13K smpl:102K ep:204 epch:3.40 loss:0.188 grdn:14.129 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:58:37 ot_train.py:351 step:13K smpl:104K ep:207 epch:3.45 loss:0.185 grdn:14.047 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:58:49 ot_train.py:351 step:13K smpl:106K ep:210 epch:3.51 loss:0.184 grdn:14.069 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:59:02 ot_train.py:351 step:13K smpl:107K ep:214 epch:3.56 loss:0.184 grdn:13.887 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:59:14 ot_train.py:351 step:14K smpl:109K ep:217 epch:3.61 loss:0.176 grdn:13.645 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:59:27 ot_train.py:351 step:14K smpl:110K ep:220 epch:3.67 loss:0.175 grdn:13.784 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-14 10:59:40 ot_train.py:351 step:14K smpl:112K ep:223 epch:3.72 loss:0.176 grdn:13.740 lr:1.0e-05 updt_s:0.060 data_s:0.002
INFO 2025-12-14 10:59:52 ot_train.py:351 step:14K smpl:114K ep:226 epch:3.77 loss:0.179 grdn:13.943 lr:1.0e-05 updt_s:0.061 data_s:0.002
